Title,Copies sold,As of,Release date,Genre(s),Developer(s),Publisher(s),Metacritic Critic Score (MetaScore),Note
Mario Kart 8 Deluxe,64269999.99999999,09/30/2024,04/28/2017,Kart racing,Nintendo EPD,Nintendo,92.0,Enhanced port of Wii U version
Animal Crossing: New Horizons,46450000.0,09/30/2024,03/20/2020,Social simulation,Nintendo EPD,Nintendo,90.0,
Super Smash Bros. Ultimate,35140000.0,09/30/2024,12/07/2018,Fighting,Bandai Namco StudiosSora Ltd.,Nintendo,93.0,
The Legend of Zelda: Breath of the Wild,32290000.0,09/30/2024,03/03/2017,Action-adventure,Nintendo EPD,Nintendo,97.0,
Super Mario Odyssey,28500000.0,09/30/2024,10/27/2017,Platformer,Nintendo EPD,Nintendo,97.0,
Pokémon Sword and Shield,26440000.0,09/30/2024,11/15/2019,Role-playing,Game Freak,The Pokémon CompanyNintendo,80.0,
Pokémon Scarlet and Violet,25690000.0,09/30/2024,11/18/2022,Role-playing,Game Freak,The Pokémon CompanyNintendo,72.0,"Scarlet received a score of 72, while Violet received a score 71"
The Legend of Zelda: Tears of the Kingdom,21040000.0,09/30/2024,05/12/2023,Action-adventure,Nintendo EPD,Nintendo,96.0,
Super Mario Party,20980000.0,09/30/2024,10/05/2018,Party,NDcube,Nintendo,76.0,
New Super Mario Bros. U Deluxe,17770000.0,09/30/2024,01/11/2019,Platformer,Nintendo EPD,Nintendo,80.0,Enhanced port of Wii U version; Wii U version had score of 84
Ring Fit Adventure,15380000.0,03/31/2023,10/18/2019,Exergamerole-playing,Nintendo EPD,Nintendo,83.0,
"Pokémon: Let's Go, Pikachu! and Let's Go, Eevee!",15070000.0,12/31/2022,11/16/2018,Role-playing,Game Freak,The Pokémon CompanyNintendo,80.0,"Let's Go Pikachu version received a score of 79, while Let's Go Eevee received an 80"
Pokémon Brilliant Diamond and Shining Pearl,15060000.0,12/31/2022,11/19/2021,Role-playing,ILCA,The Pokémon CompanyNintendo,73.0,
Pokémon Legends: Arceus,14830000.0,03/31/2023,01/28/2022,Action role-playing,Game Freak,The Pokémon CompanyNintendo,83.0,
Nintendo Switch Sports,14370000.0,09/30/2024,04/29/2022,Sports,Nintendo EPD,Nintendo,72.0,Part of the Wii Sports series
Luigi's Mansion 3,14250000.0,03/31/2024,10/31/2019,Action-adventure,Next Level Games,Nintendo,86.0,
Splatoon 2,13600000.0,12/31/2022,07/21/2017,Third-person shooter,Nintendo EPD,Nintendo,83.0,
Super Mario 3D World + Bowser's Fury,13470000.0,03/31/2024,02/12/2021,Platformer,Nintendo EPD,Nintendo,89.0,Enhanced port of Wii U version; Wii U version had score of 93
Super Mario Bros. Wonder,13440000.0,03/31/2024,10/20/2023,Platformer,Nintendo EPD,Nintendo,92.0,
Mario Party Superstars,12890000.0,03/31/2024,10/29/2021,Party,NDcube,Nintendo,80.0,
Splatoon 3,11960000.0,03/31/2024,09/09/2022,Third-person shooter,Nintendo EPD,Nintendo,83.0,
