Title,Metacritic Critic Score (MetaScore),Note
Mario Kart 8 Deluxe,92,Enhanced port of Wii U version
Animal Crossing: New Horizons,90,
Super Smash Bros. Ultimate,93,
The Legend of Zelda: Breath of the Wild,97,
Super Mario Odyssey,97,
Pokémon Sword and Shield,80,
Pokémon Scarlet and Violet,72,"Scarlet received a score of 72, while Violet received a score 71"
The Legend of Zelda: Tears of the Kingdom,96,
Super Mario Party,76,
New Super Mario Bros. U Deluxe,80,Enhanced port of Wii U version; Wii U version had score of 84
Ring Fit Adventure,83,
"Pokémon: Let's Go, Pikachu! and Let's Go, Eevee!",80,"Let's Go Pikachu version received a score of 79, while Let's Go Eevee received an 80"
Pokémon Brilliant Diamond and Shining Pearl,73,
Pokémon Legends: Arceus,83,
Nintendo Switch Sports,72,Part of the Wii Sports series
Luigi's Mansion 3,86,
Splatoon 2,83,
Super Mario 3D World + Bowser's Fury,89,Enhanced port of Wii U version; Wii U version had score of 93
Super Mario Bros. Wonder,92,
Mario Party Superstars,80,
Splatoon 3,83,
Super Mario 3D All-Stars,82,"Compilation of Super Mario games, consisting of HD ports of Super Mario 64 (1996), Super Mario Sunshine (2002), and Super Mario Galaxy (2007) in commemoration of the series' 35th anniversary."
Super Mario Maker 2,88,
Monster Hunter Rise,88,
Kirby and the Forgotten Land,85,
Suika Game,,"No critic score (MetaScore) given, User Score is 8.1"
The Legend of Zelda: Link's Awakening,87,
Minecraft,86,
Clubhouse Games: 51 Worldwide Classics,82,
Donkey Kong Country: Tropical Freeze,86,Enhanced port of Wii U version; Wii U version had score of 83
Mario Tennis Aces,75,
Kirby Star Allies,73,
The Legend of Zelda: Skyward Sword HD,93,HD remaster of Wii version; critic score from Wii version
Fire Emblem: Three Houses,89,
Hyrule Warriors: Age of Calamity,78,
"Momotaro Dentetsu: Showa, Heisei, Reiwa Mo Teiban!",,No reviews available; Japanese region-exclusive title
1-2-Switch,58,
Pikmin 4,87,
Paper Mario: The Origami King,80,
Yoshi's Crafted World,79,
Super Mario RPG,84,Remake of SNES title from 1996
Among Us,79,
Metroid Dread,88,
Mario + Rabbids Sparks of Hope,86,
New Pokémon Snap,79,
Arms,77,
Xenoblade Chronicles 2,83,
The Legend of Zelda: Echoes of Wisdom,86,
Mario Strikers: Battle League,73,
Mario Golf: Super Rush,70,
Dragon Ball FighterZ,87,
Pikmin 3 Deluxe,85,Enhanced port of Wii U version; Wii U version had score of 87
Captain Toad: Treasure Tracker,82,
Taiko no Tatsujin: Drum 'n' Fun!,78,First Taiko no Tatsujin title released in the West
Octopath Traveler,83,
Human: Fall Flat,65,
Mario + Rabbids Kingdom Battle,85,
Pokémon Mystery Dungeon: Rescue Team DX,69,Remake of the 2005 video games Pokémon Mystery Dungeon: Blue Rescue Team and Red Rescue Team
Big Brain Academy: Brain vs. Brain,73,
Paper Mario: The Thousand-Year Door,88,Remake of 2004 GameCube title
Xenoblade Chronicles: Definitive Edition,89,Expanded remaster of 2010 Wii title; Wii version scored 92
Xenoblade Chronicles 3,89,
Dragon Ball Xenoverse 2,75,
Miitopia,71,Remaster of 2016 3DS title
Mario Kart Live: Home Circuit,75,
Naruto Shippudden: Ultimate Ninja Storm Trilogy,70,"Compilation of enhanced versions of Naruto: Ultimate Ninja titles, consisting of Naruto: Ultimate Ninja Storm, Naruto Shippuden: Ultimate Ninja Storm 2, and Naruto Shippuden: Ultimate Ninja Storm 3: Full Burst; 'Shippuden' is misspelt as 'Shipudden'"
Fire Emblem Engage,80,
Marvel Ultimate Alliance 3: The Black Order,73,
Luigi's Mansion 2 HD,77,"Remaster of 2013 3DS title; originally subtitled ""Dark Moon"""
Pokkén Tournament DX,79,Enhanced port of Wii U and Arcade (Japan only) versions
Resident Evil: Revelations Collection,82,HD enhanced version of 2012 3DS title
Kirby's Return to Dream Land Deluxe,79,Remake of 2011 Wii title
Nintendo Labo Toy-Con 01: Variety Kit,77,
WarioWare: Get It Together!,76,
Astral Chain,87,
Princess Peach: Showtime!,74,
Dr Kawashima's Brain Training for Nintendo Switch,64,
Bayonetta,84,Port of 2009 PS3 and Xbox 360 title
Bayonetta 2,92,Port of 2014 Wii U title
Dragon's Dogma: Dark Arisen,81,"Expanded version of 2012 PS3 and Xbox 360 title, Dragon's Dogma"
Dark Souls Remastered,83,Remastered version of 2011 PS3 and Xbox 360 title
Game Builder Garage,77,
Mario vs. Donkey Kong,76,Remake of 2011 GBA title; GBA version scored an 81
Momotaro Dentetsu World: Chikyuu wa Kibou de Mawatteru!,,No reviews available; Japanese region-exclusive title
Shin Megami Tensei V,84,
Metroid Prime Remastered,94,HD remaster of 2002 GameCube title; GameCube version scored 97
Bayonetta 3,86,
Mario & Sonic at the Olympic Games Tokyo 2020,69,Final installment in Mario & Sonic series
Dragon Quest Monsters: The Dark Prince,72,
Enter the Gungeon,87,
Fire Emblem Warriors: Three Hopes,80,
Fitness Boxing,66,
Fitness Boxing 2: Rhythm and Exercise,66,
Resident Evil 6,69,Port of 2011 PS3 and Xbox 360 title
Story of Seasons: Pioneers of Olive Town,71,
Thief Simulator,,"No critic score (MetaScore) given, User Score is 7.0"
